id,section,subsection,title,details,price_crc,price_text,tags,url,contact_value,channel_number,locale,version
2eebd6ef-cd3e-46e4-a268-dd4830bf76aa,Compañía,Quiénes Somos,Descripción,"American Data Networks S.A. (ADN) fundada en 2005. Equipo con más de 15 años de experiencia en telecomunicaciones.
Enfoque 100 % en calidad de servicio y soporte oportuno. Actualización constante de tecnologías para brindar servicios de clase mundial.
Opción de transporte nacional e internacional de alta capacidad de datos en Costa Rica; permite optimizar y expandir redes de forma segura y rápida.",,,"empresa, historia, calidad, telecomunicaciones",,,,es_CR,v1.3
c5c1b922-f293-4545-95d0-015e3f5ee199,Compañía,Misión,Misión,"Ser la primera opción en servicios de telecomunicación, brindando innovación constante e infraestructura tecnológica de alto nivel para el transporte de datos de forma rápida, eficiente y segura.",,,"mision, estrategia",,,,es_CR,v1.3
644260a2-c472-4a3e-a134-a7e898c89e9c,Compañía,Visión,Visión,"Ser la compañía líder en vanguardia tecnológica del mercado de telecomunicaciones, con enfoque claro en clientes y estándares de clase mundial.",,,"vision, estrategia",,,,es_CR,v1.3
6c7c5a7d-88c7-4b9e-8ddd-18b1440551ef,Compañía,Ubicación,Dirección física,"San José, San José, Mata Redonda, Sabana Sur, 75 m Oeste de la Contraloría General de la República, Edificio La Colmena.",,,"direccion, ubicacion",,,,es_CR,v1.3
c02f9e01-0576-472c-92fe-43cba7e8a15b,Contacto,Canales,Teléfono,Teléfono principal de contacto y soporte.,,,"telefono, contacto",,+506 4050-5050,,es_CR,v1.3
60976f4b-09e8-4f74-83e0-b9dd6bfc41fd,Contacto,Canales,WhatsApp,Canal de WhatsApp para ventas y soporte.,,,"whatsapp, contacto",,+506 7087-8240,,es_CR,v1.3
f873991e-818c-42f6-9912-035ef708c648,Contacto,Canales,Correo información/comercial,Correo para información general y consultas comerciales.,,,"correo, ventas",,info@data.cr,,es_CR,v1.3
4c2f614a-8942-4db4-9658-0d14fcf638a3,Contacto,Canales,Correo soporte técnico,Soporte técnico por correo.,,,"correo, soporte",,helpdesk@data.cr,,es_CR,v1.3
ad87480d-7060-46d0-a3e9-3804b4b08172,Contacto,Horarios,Soporte técnico 24/7,Soporte técnico disponible 24/7.,,,"soporte, horario",,,,es_CR,v1.3
afc14b25-7e30-4321-9c37-25b19a9cca0b,Contacto,Horarios,Horario administrativo,"Lunes a viernes, 7:00 a. m. – 5:00 p. m.",,,"administrativo, horario",,,,es_CR,v1.3
296fd3b2-0963-4173-b5da-bcd9fc8a8b7d,Residencial,Beneficios,Velocidades simétricas,Sube y descarga contenido al mismo tiempo sin pérdida de calidad.,,,"simetrico, subida, bajada",,,,es_CR,v1.3
cf661117-f7ad-4f72-b7a2-b0c5ad1fa547,Residencial,Beneficios,Wi-Fi confiable en todo el hogar,Conectividad fluida en cada rincón del hogar gracias a tecnología de última generación.,,,"wifi, hogar",,,,es_CR,v1.3
f75092dc-2a27-410e-83e6-830a8b9fe25f,Residencial,Beneficios,Conexión estable 24/7,Rendimiento consistente incluso en horas de alta demanda.,,,"estabilidad, uptime",,,,es_CR,v1.3
356fc911-7f86-4b13-a660-edd50f02fdd3,Residencial,Beneficios,"Ideal para streaming, gaming, videollamadas y teletrabajo",Experiencia en línea sin interrupciones con múltiples dispositivos conectados simultáneamente.,,,"streaming, gaming, teletrabajo",,,,es_CR,v1.3
b0d06a17-4fe9-4a4f-9c7e-b4cca9f8934d,Residencial,Beneficios,Soporte técnico en ≤ 90 minutos,"En caso de fallos, se envía un técnico en moto al hogar en 90 minutos o menos.",,,"sla, soporte, tiempos",,,,es_CR,v1.3
5a88bb7f-cfe5-4fdf-9e71-809d6ba74224,Residencial,Planes,Plan 100/100 Mbps,"Plan residencial simétrico. Incluye Equipo Wi-Fi, Firewall y Soporte 24/7.",20500,₡20 500 IVI,"plan, 100, residencial",,,,es_CR,v1.3
1cc50467-903d-438b-bef9-7823172fda60,Residencial,Planes,Plan 250/250 Mbps,"Plan residencial simétrico. Incluye Equipo Wi-Fi, Firewall y Soporte 24/7.",26600,₡26 600 IVI,"plan, 250, residencial",,,,es_CR,v1.3
f4223cc7-1050-4701-a2e9-e54677e44f75,Residencial,Planes,Plan 500/500 Mbps (más popular),"Plan residencial simétrico. Incluye Equipo Wi-Fi, Firewall y Soporte 24/7.",33410,₡33 410 IVI,"plan, 500, residencial, popular",,,,es_CR,v1.3
168d2d39-bb11-411c-9ffe-1aa332b41bb8,Residencial,Planes,Plan 1/1 Gbps,"Plan residencial simétrico. Incluye Equipo Wi-Fi, Firewall y Soporte 24/7.",49500,₡49 500 IVI,"plan, 1000, residencial",,,,es_CR,v1.3
f099871e-21f7-43e6-879a-2a159f8bf579,Precios,Impuestos,IVA y otros,"Precios publicados incluyen IVI: IVA 13 %, 1 % Cruz Roja y 0,75 % 9-1-1.",,,"impuestos, ivi, iva",,,,es_CR,v1.3
9ed260aa-ba41-490d-bc95-bb8a9afcc8f0,Residencial,Activación,Paso 1 – Revisar cobertura,Haz clic para revisar cobertura por dirección o consúltanos por WhatsApp.,,,"cobertura, pasos",https://data.cr/cobertura,,,es_CR,v1.3
e808f8fa-9e86-47f5-821c-3ecf878e6644,Residencial,Activación,Paso 2 – Contacto,"Contáctanos por teléfono, WhatsApp o formulario en línea.",,,"contacto, pasos",,,,es_CR,v1.3
4dec89b0-bab3-46af-afca-9b31c908d45d,Residencial,Activación,Paso 3 – Agendamiento,Agendamos la instalación en el horario que te convenga.,,,"agenda, instalacion, pasos",,,,es_CR,v1.3
e9730a97-5d4d-4a1f-8d13-6dd658731bcd,Residencial,Activación,Paso 4 – Instalación técnica,Nuestro técnico realiza la instalación y conecta la línea con calidad garantizada.,,,"tecnico, instalacion, pasos",,,,es_CR,v1.3
